,ligand_name,rpos,dG_ts3
0,1-methylindole,5,20.373573921096977
1,1-methylindole,7,25.450590353284497
2,1-methylindole,8,17.142980539996643
3,1-methylindole,9,19.421267692523543
4,1-methylpyrrole,2,17.40773553639883
5,1-methylpyrrole,3,18.856018564023543
6,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,14.500339333841112
7,2-methoxyfuran,3,16.03821298381081
8,2-methoxyfuran,4,20.203287313401233
9,2-methoxyfuran,5,12.663759862247389
10,2-methylfuran,3,19.458243224478792
11,2-tert-butylfuran,3,24.13709316094173
12,2-tert-butylfuran,4,18.051909919653554
13,2-tert-butylfuran,5,16.44342711934587
14,furan,0,16.827936274756212
15,furan,1,19.860049517883454
16,trimethyl(pyrrol-1-yl)silane,3,19.33346973458538
17,1-benzylpyrrole,4,25.248600495106075
18,1-benzylpyrrole,5,23.186350069299806
19,1-benzylpyrrole,8,14.843061564548407
20,1-methylindole,4,23.246760577021632
21,2-methylfuran,2,17.98849480546778
22,2-methylfuran,4,18.1173491756781
23,furan-2-yloxy(trimethyl)silane,5,14.67651272501098
24,furan-2-yloxy(trimethyl)silane,6,20.125962620892096
25,furan-2-yloxy(trimethyl)silane,7,11.819822330784518
26,trimethyl(pyrrol-1-yl)silane,4,17.954441927431617
