,ligand_name,rpos,dG,dE
0,1-benzylpyrrole,3,23.73037274350645,24.123718758091854
1,1-benzylpyrrole,4,12.530532212287653,24.11459628892044
2,1-benzylpyrrole,5,27.12765639909776,24.732421092317963
3,1-benzylpyrrole,8,12.853313989762682,15.238014226757514
4,1-benzylpyrrole,9,13.790108657965902,18.590981859852036
5,1-methylindole,4,22.531476506090257,23.439648567051336
6,1-methylindole,5,22.08020954002859,24.57324965773296
7,1-methylindole,6,22.205700932710897,23.72308509407594
8,1-methylindole,7,26.918316769355442,23.52624810802081
9,1-methylindole,8,11.959853323351126,17.92150861347909
10,1-methylindole,9,19.61915870878147,18.27004929989198
11,1-methylpyrrole,2,13.721025826234836,16.02449893321318
12,1-methylpyrrole,3,15.312321264820639,20.460735259497596
13,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,13.208078390511218,18.319511629764747
14,2-methoxyfuran,3,11.75461897457717,20.75060370466963
15,2-methoxyfuran,4,18.209143263462465,24.083351780835073
16,2-methoxyfuran,5,9.592337982438039,17.70420998987538
17,2-methylfuran,2,16.48394405125873,20.576445301936474
18,2-methylfuran,3,19.314632535271812,23.17421344885952
19,2-methylfuran,4,15.830959450395312,20.449353743664687
20,2-tert-butylfuran,3,21.436017425206956,23.180854175167042
21,2-tert-butylfuran,4,24.395307378435973,23.501442084336304
22,2-tert-butylfuran,5,14.957742699829396,18.56973317232041
23,furan-2-yloxy(trimethyl)silane,5,10.709659616288263,17.452534298907267
24,furan-2-yloxy(trimethyl)silane,6,20.51754063233966,24.321959799111937
25,furan-2-yloxy(trimethyl)silane,7,9.743676523270551,15.362551433048793
26,furan,0,17.59974563861033,21.66328188974876
27,furan,1,19.585424685443286,23.89630877439049
28,trimethyl(pyrrol-1-yl)silane,3,15.854951736575458,14.458133317704778
29,trimethyl(pyrrol-1-yl)silane,4,16.97742393851513,19.083802761233528
