,ligand_name,rpos,dG
0,1-methylindole,4,27.59653395303758
1,1-methylindole,5,23.862664582615253
2,1-methylindole,6,24.35041047440609
3,1-methylindole,7,26.468163653993066
4,1-methylindole,8,12.5652534069377
5,1-methylindole,9,21.28936334705213
6,1-methylpyrrole,2,14.818575521290768
7,1-methylpyrrole,3,16.070486721058842
8,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,15.984049901540857
9,2-methoxyfuran,5,11.436218758055475
10,2-methoxyfuran,4,19.720398562203627
11,2-methoxyfuran,3,13.0746555374179
12,2-methylfuran,3,18.2129289308685
13,2-methylfuran,4,21.043953158834483
14,2-methylfuran,2,17.22599840989206
15,2-tert-butylfuran,3,23.277630969590973
16,2-tert-butylfuran,4,21.135061770153698
17,2-tert-butylfuran,5,16.52825571555877
18,furan,0,19.98097429407062
19,furan,1,22.233541126914087
20,furan-2-yloxy(trimethyl)silane,6,21.84138353104936
21,trimethyl(pyrrol-1-yl)silane,3,16.278401839139406
